name,address,category
Khách Sạn Royal,"Đường Trần Công An, Trung Dũng, Biên Hòa, Đồng Nai, 76117",hotel
Khách Sạn Đồng Nai,"Số 57, Đường Phạm Văn Thuận, Tân Tiến, Biên Hòa, Đồng Nai, 811932",hotel
Khách Sạn Vĩnh An,"Số 107, Đường Hà Huy Giáp, Biên Hòa, Đồng Nai, 811087",hotel
Cư Xá Năm Tầng Cũ,"Đường Hà Huy Giáp, Biên Hòa, Đồng Nai, 811087",hotel
Khách Sạn Hòa Bình,"Số 9, Đường Võ Thị Sáu, Biên Hòa, Đồng Nai, 811123",hotel
Nhà Hàng-Khách Sạn 71,"Số 71, Đường Hà Huy Giáp, Biên Hòa, Đồng Nai, 811087",hotel
Khách Sạn,"Số 115, Đường Phan Chu Trinh, Quang Vinh, Biên Hòa, Đồng Nai, 76119",hotel
Khách Sạn-Nhà Hàng Diamond,"Số 106, Đường Nguyễn Tri Phương, Bửu Hòa, Biên Hòa, Đồng Nai, 76125",hotel
Aurora Hotel Plaza,"Số 253, Đường Phạm Văn Thuận, Thống Nhất, Biên Hòa, Đồng Nai, 76108",hotel
Nhà Nghỉ Thái Loan,"Đường Võ Thị Sáu, Biên Hòa, Đồng Nai, 811123",hotel
Dịch Vụ Cho Thuê Phòng Trọ,"Đường Nguyễn Thành Đồng, Thống Nhất, Biên Hòa, Đồng Nai, 76108",hotel
Nhà Nghỉ Mỹ Nhung,"Số 88/1A, Đường Nguyễn Ái Quốc, Trung Dũng, Biên Hòa, Đồng Nai, 812076",hotel
Khách Sạn-Nhà Hàng Long Biên,"Số 2, Đường Phan Đình Phùng, Thanh Bình, Biên Hòa, Đồng Nai, 811002",hotel
Khu Chung Cư Thanh Bình-HUD,"Đường Nguyễn Trãi, Thanh Bình, Biên Hòa, Đồng Nai, 811027",hotel
New Star Hotel,"Đường D5, Thống Nhất, Biên Hòa, Đồng Nai, 76108",hotel
Khách Sạn Tâm Sơn Hải,"Đường Trần Công An, Trung Dũng, Biên Hòa, Đồng Nai, 76118",hotel
Khách Sạn Nguyên Thủy,"Số 80, Đường Cách Mạng Tháng 8, Quang Vinh, Biên Hòa, Đồng Nai, 812204",hotel
Nhà Nghỉ Ngọc Điểm,"Số 14, Đường Hà Huy Giáp, Biên Hòa, Đồng Nai, 811087",hotel
Nhà Nghỉ Huyền Trang,"Số 11/4, Đường Huỳnh Văn Nghệ, Bửu Long, Biên Hòa, Đồng Nai, 812431",hotel
Hotel Dung Tuyết,"Số 80, Đường Cách Mạng Tháng 8, Hòa Bình, Biên Hòa, Đồng Nai, 76122",hotel
